Country;Requester_Type;Product;Indication;Question;Channel;Date_Time_Open;Date_Time_Closed;Answer/Solution
UK;HCP;Keytruda;NSCLC;What are the common side effects of Keytruda?;email;27/06/2023 17:00;21/07/2023 18:00;"Common side effects include fatigue, nausea, and skin rash."
US;Researcher;Keytruda;NSCLC;Can Keytruda cause immune-related adverse effects?;email;08/06/2023 8:00;06/07/2023 12:30;"Yes, Keytruda can cause immune-related adverse effects such as colitis, hepatitis, and pneumonitis."
UK;HCP;Keytruda;NSCLC;Is Keytruda safe for pregnant women?;call;06/03/2023 4:00;19/04/2023 15:00;Keytruda is not recommended for use during pregnancy due to potential risks to the fetus.
UK;Researcher;Keytruda;NSCLC;What should patients report immediately while on Keytruda treatment?;email;05/02/2023 10:30;05/03/2023 6:00;"Patients should report any new or worsening symptoms such as cough, chest pain, or changes in vision immediately."
US;Researcher;Keytruda;NSCLC;Are there any known interactions between Keytruda and other medications?;call;14/03/2023 9:30;16/04/2023 18:30;"Yes, Keytruda can interact with steroids and certain immunosuppressants, potentially affecting its efficacy and safety."
US;Pharmacist;Keytruda;NSCLC;How effective is Keytruda in treating non-small cell lung cancer?;email;09/06/2023 11:00;16/07/2023 9:30;Keytruda has shown to improve survival rates significantly in non-small cell lung cancer patients with PD-L1 expression.
UK;Researcher;Keytruda;NSCLC;What is the response rate of melanoma patients treated with Keytruda?;email;10/03/2023 21:00;03/04/2023 5:00;Approximately 40% of melanoma patients respond positively to Keytruda treatment.
Canada;Pharmacist;Keytruda;NSCLC;Does Keytruda work for all types of cancer?;email;17/05/2023 6:00;27/05/2023 2:30;Keytruda is most effective in cancers that express PD-L1 and in a genetic background favorable to immune therapy.
UK;HCP;Keytruda;NSCLC;How long does it take to see the effects of Keytruda in treating cancer?;call;31/03/2023 1:00;17/04/2023 8:30;Some patients may see effects as early as 2 to 3 months into the treatment.
UK;HCP;Keytruda;NSCLC;What is the five-year survival rate for patients using Keytruda for lung cancer?;call;05/05/2023 4:00;01/06/2023 17:30;No detailed information aviable on the given topic.
UK;HCP;Keytruda;NSCLC;What was the objective response rate in the KEYNOTE-006 trial?;call;06/05/2023 2:00;30/05/2023 14:30;The provided response do not offer detailed information on the given topic.
UK;HCP;Keytruda;NSCLC;Are there any specific monitoring protocols for NSCLC patients on Keytruda as suggested by KEYNOTE-006 outcomes?;call;28/04/2023 7:30;20/05/2023 0:00;"Regular monitoring of liver function, lung function, and immune markers is recommended to manage potential side effects effectively."
US;Pharmacist;Keytruda;NSCLC;What was the impact of Keytruda on metastatic NSCLC in the KEYNOTE-051 trial?;email;26/05/2023 8:00;02/07/2023 10:30;Keytruda significantly reduced the progression of metastatic disease and improved survival rates in metastatic NSCLC patients.
UK;HCP;Keytruda;NSCLC;Did the KEYNOTE-10086 trial meet its primary endpoints?;email;03/03/2023 20:00;12/03/2023 12:00;No detailed information aviable on the given topic.
Canada;Researcher;Keytruda;NSCLC;What were the side effects noted in the KEYNOTE-006 trial?;email;14/04/2023 1:00;18/05/2023 4:30;"Common side effects included fatigue, itching, and diarrhea."
US;Researcher;Keytruda;NSCLC;What is the recommended dosage of Keytruda for melanoma?;call;03/01/2023 9:00;28/01/2023 0:00;The recommended dosage is 200 mg every three weeks for adults.
Canada;Researcher;Keytruda;NSCLC;How do the results of KEYNOTE-006 influence the future research directions for NSCLC treatment?;call;25/05/2023 23:30;15/06/2023 10:00;"The results encourage further research into immunotherapy combinations, personalized medicine based on genetic markers, and strategies to overcome resistance to PD-1 inhibitors"
Canada;Pharmacist;Keytruda;NSCLC;How is Keytruda administered?;call;21/03/2023 16:30;22/04/2023 15:00;Keytruda is administered as an intravenous infusion over 30 minutes.
Canada;HCP;Keytruda;NSCLC;Can Keytruda be used in combination with other therapies?;call;30/03/2023 6:30;11/05/2023 2:30;"Yes, Keytruda can be used in combination with chemotherapy and other immunotherapies depending on the cancer type."
Canada;HCP;Keytruda;NSCLC;What are the guidelines for Keytruda in treating Hodgkin's lymphoma?;email;23/05/2023 0:00;06/06/2023 18:00;Keytruda is recommended for relapsed or refractory classical Hodgkin lymphoma after two or more lines of therapy.
US;HCP;Keytruda;NSCLC;Are there patient support programs available for Keytruda users?;email;05/03/2023 21:30;04/04/2023 4:30;"Yes, there are several patient support programs that provide financial assistance and counseling services."
