,country,requester_type,product,indication,question,channel,date_time_open,date_time_closed,answer_solution,response_time_hours,question_token_count,answer_token_count
0,UK,HCP,Keytruda,NSCLC,What are the common side effects of Keytruda?,email,2023-06-27 17:00:00,2023-07-21 18:00:00,"Common side effects include fatigue, nausea, and skin rash.",577.0,9,12
1,US,Researcher,Keytruda,NSCLC,Can Keytruda cause immune-related adverse effects?,email,2023-06-08 08:00:00,2023-07-06 12:30:00,"Yes, Keytruda can cause immune-related adverse effects such as colitis, hepatitis, and pneumonitis.",676.5,7,17
2,UK,HCP,Keytruda,NSCLC,Is Keytruda safe for pregnant women?,call,2023-03-06 04:00:00,2023-04-19 15:00:00,Keytruda is not recommended for use during pregnancy due to potential risks to the fetus.,1067.0,7,16
3,UK,Researcher,Keytruda,NSCLC,What should patients report immediately while on Keytruda treatment?,email,2023-02-05 10:30:00,2023-03-05 06:00:00,"Patients should report any new or worsening symptoms such as cough, chest pain, or changes in vision immediately.",667.5,10,21
4,US,Researcher,Keytruda,NSCLC,Are there any known interactions between Keytruda and other medications?,call,2023-03-14 09:30:00,2023-04-16 18:30:00,"Yes, Keytruda can interact with steroids and certain immunosuppressants, potentially affecting its efficacy and safety.",801.0,11,18
5,US,Pharmacist,Keytruda,NSCLC,How effective is Keytruda in treating non-small cell lung cancer?,email,2023-06-09 11:00:00,2023-07-16 09:30:00,Keytruda has shown to improve survival rates significantly in non-small cell lung cancer patients with PD-L1 expression.,886.5,11,18
6,UK,Researcher,Keytruda,NSCLC,What is the response rate of melanoma patients treated with Keytruda?,email,2023-03-10 21:00:00,2023-04-03 05:00:00,Approximately 40% of melanoma patients respond positively to Keytruda treatment.,560.0,12,12
7,Canada,Pharmacist,Keytruda,NSCLC,Does Keytruda work for all types of cancer?,email,2023-05-17 06:00:00,2023-05-27 02:30:00,Keytruda is most effective in cancers that express PD-L1 and in a genetic background favorable to immune therapy.,236.5,9,19
8,UK,HCP,Keytruda,NSCLC,How long does it take to see the effects of Keytruda in treating cancer?,call,2023-03-31 01:00:00,2023-04-17 08:30:00,Some patients may see effects as early as 2 to 3 months into the treatment.,415.5,15,16
9,UK,HCP,Keytruda,NSCLC,What is the five-year survival rate for patients using Keytruda for lung cancer?,call,2023-05-05 04:00:00,2023-06-01 17:30:00,No detailed information aviable on the given topic.,661.5,14,9
10,UK,HCP,Keytruda,NSCLC,What was the objective response rate in the KEYNOTE-006 trial?,call,2023-05-06 02:00:00,2023-05-30 14:30:00,The provided response do not offer detailed information on the given topic.,588.5,11,13
11,UK,HCP,Keytruda,NSCLC,Are there any specific monitoring protocols for NSCLC patients on Keytruda as suggested by KEYNOTE-006 outcomes?,call,2023-04-28 07:30:00,2023-05-20 00:00:00,"Regular monitoring of liver function, lung function, and immune markers is recommended to manage potential side effects effectively.",520.5,17,21
12,US,Pharmacist,Keytruda,NSCLC,What was the impact of Keytruda on metastatic NSCLC in the KEYNOTE-051 trial?,email,2023-05-26 08:00:00,2023-07-02 10:30:00,Keytruda significantly reduced the progression of metastatic disease and improved survival rates in metastatic NSCLC patients.,890.5,14,17
13,UK,HCP,Keytruda,NSCLC,Did the KEYNOTE-10086 trial meet its primary endpoints?,email,2023-03-03 20:00:00,2023-03-12 12:00:00,No detailed information aviable on the given topic.,208.0,9,9
14,Canada,Researcher,Keytruda,NSCLC,What were the side effects noted in the KEYNOTE-006 trial?,email,2023-04-14 01:00:00,2023-05-18 04:30:00,"Common side effects included fatigue, itching, and diarrhea.",819.5,11,11
15,US,Researcher,Keytruda,NSCLC,What is the recommended dosage of Keytruda for melanoma?,call,2023-01-03 09:00:00,2023-01-28 00:00:00,The recommended dosage is 200 mg every three weeks for adults.,591.0,10,12
16,Canada,Researcher,Keytruda,NSCLC,How do the results of KEYNOTE-006 influence the future research directions for NSCLC treatment?,call,2023-05-25 23:30:00,2023-06-15 10:00:00,"The results encourage further research into immunotherapy combinations, personalized medicine based on genetic markers, and strategies to overcome resistance to PD-1 inhibitors",490.5,15,24
